subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,connection_120,num_turns_120
101,204,101_204,0.0,490.8611111111111,308.5,87.89133333333334,144.0,580.9625,412.0,87.22766666666666,80.0,600.377358490566,420.0,88.5305,53.0,630.4318181818181,415.5,89.74666666666667,44.0,678.8529411764706,480.0,90.30666666666667,34.0,734.7,480.5,89.647,30.0,808.7,480.5,86.135,20.0,808.7,480.5,83.776,20.0,770.3333333333334,430.5,81.47,18.0,850.9230769230769,440.0,77.86,13.0,955.0,440.0,75.976,9.0,1113.0,725.0,75.72,6.0,609.75,659.5,75.37333333333333,4.0,720.0,1040.0,74.24,3.0,1040.0,1040.0,71.08,1.0
204,101,101_204,0.0,490.8611111111111,308.5,58.253,144.0,580.9625,412.0,51.277,80.0,600.377358490566,420.0,50.819,53.0,630.4318181818181,415.5,49.05866666666667,44.0,678.8529411764706,480.0,48.57333333333333,34.0,734.7,480.5,46.685,30.0,808.7,480.5,40.818333333333335,20.0,808.7,480.5,38.582,20.0,770.3333333333334,430.5,36.7125,18.0,850.9230769230769,440.0,34.61666666666667,13.0,955.0,440.0,32.94,9.0,1113.0,725.0,30.425,6.0,609.75,659.5,26.233333333333334,4.0,720.0,1040.0,17.85,3.0,1040.0,1040.0,12.04,1.0
101,204,101_204,1.0,,,,,378.234375,219.0,88.555,64.0,520.0392156862745,314.0,83.9325,51.0,520.5,383.0,84.70866666666667,36.0,510.53846153846155,335.5,84.79083333333334,26.0,425.17391304347825,310.0,87.414,23.0,493.35714285714283,430.0,94.47833333333334,14.0,586.7,490.5,95.518,10.0,812.5,719.5,95.1475,6.0,730.2857142857143,521.0,94.41,7.0,689.0,521.0,91.576,11.0,599.0,430.5,87.22,12.0,958.1111111111111,440.0,80.34666666666666,9.0,1506.0,410.0,77.2,3.0,560.0,560.0,77.4,2.0
204,101,101_204,1.0,,,,,378.234375,219.0,65.229,64.0,520.0392156862745,314.0,55.7155,51.0,520.5,383.0,53.495333333333335,36.0,510.53846153846155,335.5,54.5075,26.0,425.17391304347825,310.0,54.953,23.0,493.35714285714283,430.0,56.32833333333333,14.0,586.7,490.5,54.788,10.0,812.5,719.5,50.515,6.0,730.2857142857143,521.0,47.02,7.0,689.0,521.0,44.224,11.0,599.0,430.5,43.0,12.0,958.1111111111111,440.0,43.0,9.0,1506.0,410.0,43.0,3.0,560.0,560.0,23.66,2.0
101,204,101_204,2.0,,,,,,,,,308.55,219.0,91.211,40.0,433.71875,219.0,82.674,32.0,531.4871794871794,314.0,89.11833333333334,39.0,542.8518518518518,326.0,84.622,27.0,441.46666666666664,239.0,85.665,15.0,407.0,194.0,89.946,14.0,434.0,270.0,94.3025,10.0,499.625,490.5,94.88666666666667,8.0,641.75,719.5,96.036,4.0,1154.0,1154.0,95.465,2.0,765.1666666666666,470.5,92.53333333333333,6.0,626.2857142857143,440.0,82.14,7.0,279.0,279.0,77.64,1.0
204,101,101_204,2.0,,,,,,,,,308.55,219.0,68.2245,40.0,433.71875,219.0,60.492,32.0,531.4871794871794,314.0,53.51416666666667,39.0,542.8518518518518,326.0,52.193,27.0,441.46666666666664,239.0,50.233333333333334,15.0,407.0,194.0,53.806,14.0,434.0,270.0,58.4925,10.0,499.625,490.5,53.64666666666667,8.0,641.75,719.5,52.0,4.0,1154.0,1154.0,49.03,2.0,765.1666666666666,470.5,43.0,6.0,626.2857142857143,440.0,43.0,7.0,279.0,279.0,43.0,1.0
101,204,101_204,3.0,,,,,,,,,,,,,322.75,216.0,94.436,32.0,323.6818181818182,200.5,80.4125,22.0,494.375,230.0,83.243,24.0,604.7272727272727,499.0,83.91666666666667,11.0,453.44444444444446,420.0,84.882,9.0,452.5,259.5,86.38,12.0,485.0,267.0,94.07,6.0,550.0,270.0,95.0,6.0,641.75,719.5,94.83,4.0,521.0,521.0,96.28666666666666,1.0,560.8,410.0,92.3,5.0,2119.5,2119.5,76.76,2.0
204,101,101_204,3.0,,,,,,,,,,,,,322.75,216.0,69.966,32.0,323.6818181818182,200.5,65.07166666666667,22.0,494.375,230.0,59.238,24.0,604.7272727272727,499.0,58.781666666666666,11.0,453.44444444444446,420.0,56.1,9.0,452.5,259.5,51.0,12.0,485.0,267.0,59.01,6.0,550.0,270.0,57.576,6.0,641.75,719.5,52.0,4.0,521.0,521.0,51.04,1.0,560.8,410.0,43.0,5.0,2119.5,2119.5,43.0,2.0
101,204,101_204,4.0,,,,,,,,,,,,,,,,,281.7391304347826,211.0,94.82833333333333,23.0,376.5769230769231,225.0,87.082,26.0,506.1,305.0,85.94333333333333,20.0,569.875,366.5,82.912,8.0,472.7142857142857,608.0,85.3525,7.0,465.8,194.0,87.50666666666666,10.0,260.0,260.0,93.504,4.0,550.0,270.0,95.0,6.0,641.75,719.5,94.77333333333333,4.0,1154.0,1154.0,93.0,2.0,639.0,440.0,77.0,3.0
204,101,101_204,4.0,,,,,,,,,,,,,,,,,281.7391304347826,211.0,69.59833333333333,23.0,376.5769230769231,225.0,67.731,26.0,506.1,305.0,50.223333333333336,20.0,569.875,366.5,51.718,8.0,472.7142857142857,608.0,57.375,7.0,465.8,194.0,51.0,10.0,260.0,260.0,56.612,4.0,550.0,270.0,58.97,6.0,641.75,719.5,52.0,4.0,1154.0,1154.0,46.06,2.0,639.0,440.0,43.0,3.0
